Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total_BandaProv,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Others_Rangos_VelocidadProv,Total_Rangos_VelocidadProv,ADSL,Cablemodem,Fibra óptica,Wireless,Others_TechProv,Total_TechProv,Accesos por cada 100 hogares,Mbps (Media de bajada),Date
2022,3,Buenos Aires,4715.469,6.199,4721.668,29.985,27.709,290.315,297.915,267.044,124.19,3618.689,65.821,4721.668,339.648,2748.325,1436.433,126.846,70.416,4721.668,78.11,70,2022-03-01
2022,3,Buenos Aires,1545.534,2.145,1547.679,517.0,5.742,34.371,67.829,51.946,28.692,1253.105,105.477,1547.679,140.791,1240.125,129.218,5.758,31.787,1547.679,122.28,101,2022-03-01
2022,3,Catamarca,70.292,1.0,70.293,71.0,384.0,3.107,5.389,5.099,3.737,50.298,2.208,70.293,10.01,10.495,46.224,1.329,2.235,70.293,65.33,61,2022-03-01
2022,3,Chaco,144.141,5.0,144.146,461.0,987.0,16.782,18.938,8.049,15.828,79.39,3.711,144.146,27.164,61.8,44.645,8.178,2.359,144.146,43.86,53,2022-03-01
2022,3,Chubut,164.874,904.0,165.778,109.0,1.444,45.707,30.94,34.682,15.309,17.563,20.024,165.778,45.377,72.212,9.574,29.784,8.831,165.778,84.38,16,2022-03-01
2022,3,Córdoba,1038.6,68.0,1038.668,99.0,11.312,153.324,111.615,70.989,27.112,650.344,13.873,1038.668,163.77,465.461,338.57,61.07,9.797,1038.668,88.31,56,2022-03-01
2022,3,Corrientes,144.842,4.0,144.846,67.0,3.865,23.427,23.948,7.776,21.706,56.95,7.107,144.846,36.508,77.14,18.619,7.256,5.323,144.846,48.21,45,2022-03-01
2022,3,Entre Ríos,268.937,22.0,268.959,107.0,5.549,47.21,46.855,18.263,32.021,102.195,16.759,268.959,60.345,132.952,36.971,26.098,12.593,268.959,63.67,42,2022-03-01
2022,3,Formosa,68.537,1.0,68.538,97.0,307.0,23.538,19.545,6.194,564.0,17.704,589.0,68.538,14.47,25.88,11.041,16.935,212.0,68.538,43.76,30,2022-03-01
2022,3,Jujuy,118.823,0.0,118.823,58.0,1.879,19.135,15.254,36.083,519.0,45.895,0.0,118.823,19.257,52.978,40.172,4.033,2.383,118.823,58.91,32,2022-03-01
2022,3,La Pampa,115.921,171.0,116.092,68.0,1.887,61.54,9.653,11.592,5.609,22.731,3.012,116.092,7.796,60.078,23.551,20.216,4.451,116.092,96.59,18,2022-03-01
2022,3,La Rioja,86.86,4.0,86.864,18.0,689.0,2.842,3.375,24.219,5.331,50.39,0.0,86.864,6.842,53.899,19.697,6.395,31.0,86.864,80.66,44,2022-03-01
2022,3,Mendoza,288.746,777.0,289.523,103.0,2.953,44.232,21.977,48.201,17.243,150.043,4.771,289.523,37.659,78.858,142.615,27.625,2.766,289.523,51.03,34,2022-03-01
2022,3,Misiones,182.157,0.0,182.157,51.0,3.749,36.628,20.758,12.676,19.615,80.33,8.35,182.157,35.513,88.902,39.046,11.074,7.622,182.157,51.82,49,2022-03-01
2022,3,Neuquén,162.693,468.0,163.161,134.0,991.0,38.485,14.08,9.2,6.7,78.713,14.858,163.161,29.352,75.815,29.396,27.482,1.116,163.161,80.37,48,2022-03-01
2022,3,Río Negro,160.01,548.0,160.558,111.0,1.221,32.936,17.86,27.934,13.629,42.596,24.271,160.558,35.552,48.26,41.017,16.76,18.969,160.558,67.98,34,2022-03-01
2022,3,Salta,204.536,5.0,204.541,114.0,1.49,32.923,71.199,5.662,1.001,85.661,6.491,204.541,40.006,96.984,50.254,10.082,7.215,204.541,57.76,41,2022-03-01
2022,3,San Juan,103.118,281.0,103.399,24.0,2.027,30.324,11.247,22.157,6.78,19.221,11.619,103.399,38.57,22.723,12.328,21.86,7.918,103.399,50.8,16,2022-03-01
2022,3,San Luis,121.888,182.0,122.07,60.0,307.0,6.563,20.813,12.061,67.438,13.0,14.815,122.07,6.86,29.363,248.0,70.614,14.985,122.07,81.74,19,2022-03-01
2022,3,Santa Cruz,49.312,198.0,49.51,52.0,6.841,12.342,11.313,11.378,2.333,4.604,647.0,49.51,10.17,24.047,10.815,3.896,582.0,49.51,43.19,13,2022-03-01
2022,3,Santa Fe,887.7,110.0,887.81,468.0,11.132,132.709,198.588,70.897,57.455,396.352,20.209,887.81,183.74,426.255,215.189,43.079,19.547,887.81,78.55,45,2022-03-01
2022,3,Santiago Del Estero,119.03,2.0,119.032,178.0,1.384,28.357,58.982,16.087,910.0,12.342,792.0,119.032,15.385,80.937,13.17,6.618,2.922,119.032,47.98,18,2022-03-01
2022,3,Tierra Del Fuego,53.584,312.0,53.896,22.0,831.0,12.002,14.815,20.102,1.752,1.021,3.351,53.896,12.754,39.963,403.0,125.0,651.0,53.896,99.51,11,2022-03-01
2022,3,Tucumán,263.087,30.0,263.117,39.0,2.047,32.571,39.018,25.214,4.348,159.6,280.0,263.117,77.738,18.518,162.345,3.997,519.0,263.117,61.14,53,2022-03-01
2022,2,Buenos Aires,4660.984,6.199,4667.183,30.639,28.323,295.238,307.554,273.954,129.869,3535.757,65.849,4667.183,350.652,2719.613,1399.043,126.847,71.028,4667.183,77.58,66,2022-02-01
2022,2,Buenos Aires,1534.626,2.145,1536.771,517.0,5.98,36.036,72.434,55.372,31.571,1229.254,105.607,1536.771,145.491,1232.226,121.506,5.757,31.791,1536.771,121.31,94,2022-02-01
2022,2,Catamarca,67.007,1.0,67.008,71.0,413.0,3.678,6.155,7.165,3.393,43.926,2.207,67.008,11.928,9.43,42.087,1.329,2.234,67.008,62.4,57,2022-02-01
2022,2,Chaco,143.559,5.0,143.564,461.0,1.047,17.603,20.109,8.391,15.974,76.271,3.708,143.564,29.552,61.284,42.194,8.178,2.356,143.564,43.79,51,2022-02-01
2022,2,Chubut,161.901,904.0,162.805,109.0,1.444,45.804,31.217,34.29,14.526,15.394,20.021,162.805,45.377,69.242,9.574,29.784,8.828,162.805,83.19,15,2022-02-01
2022,2,Córdoba,1026.367,68.0,1026.435,99.0,11.971,160.486,120.485,71.923,28.645,619.4,13.426,1026.435,179.181,467.595,308.895,61.107,9.657,1026.435,87.48,54,2022-02-01
2022,2,Corrientes,144.993,4.0,144.997,67.0,3.937,24.253,24.842,8.001,21.719,55.071,7.107,144.997,38.468,75.769,18.181,7.256,5.323,144.997,48.35,43,2022-02-01
2022,2,Entre Ríos,269.33,22.0,269.352,107.0,5.656,48.637,48.557,18.512,32.355,98.769,16.759,269.352,63.794,131.029,35.839,26.098,12.592,269.352,63.9,40,2022-02-01
2022,2,Formosa,67.881,0.0,67.881,97.0,407.0,23.834,19.706,6.33,591.0,16.326,590.0,67.881,15.397,25.487,9.875,16.91,212.0,67.881,43.42,28,2022-02-01
2022,2,Jujuy,115.314,0.0,115.314,58.0,1.829,19.458,15.79,37.786,549.0,37.391,2.453,115.314,20.303,54.495,34.184,3.955,2.377,115.314,57.32,29,2022-02-01
2022,2,La Pampa,111.356,171.0,111.527,68.0,1.887,62.546,9.842,11.8,5.247,17.125,3.012,111.527,7.796,59.273,22.994,20.2,1.264,111.527,92.98,16,2022-02-01
2022,2,La Rioja,86.026,4.0,86.03,18.0,728.0,3.179,3.89,23.814,5.481,48.92,0.0,86.03,7.759,52.656,19.189,6.395,31.0,86.03,80.14,43,2022-02-01
2022,2,Mendoza,278.785,777.0,279.562,103.0,2.954,44.961,22.557,64.138,19.543,121.366,3.94,279.562,37.663,77.504,135.504,26.964,1.927,279.562,49.39,30,2022-02-01
2022,2,Misiones,178.813,0.0,178.813,51.0,3.808,37.254,21.712,12.774,19.757,75.107,8.35,178.813,37.208,89.26,33.649,11.074,7.622,178.813,51.0,46,2022-02-01
2022,2,Neuquén,161.5,468.0,161.968,134.0,999.0,38.826,15.066,9.205,2.039,76.982,18.717,161.968,29.749,74.905,28.824,27.371,1.119,161.968,80.02,47,2022-02-01
2022,2,Río Negro,159.216,548.0,159.764,111.0,1.227,33.364,17.938,27.168,13.714,41.972,24.27,159.764,36.05,47.04,40.946,16.76,18.968,159.764,67.85,33,2022-02-01
2022,2,Salta,203.172,5.0,203.177,114.0,1.53,33.732,72.661,6.012,1.156,81.478,6.494,203.177,42.665,96.178,47.076,10.068,7.19,203.177,57.54,39,2022-02-01
2022,2,San Juan,100.126,281.0,100.407,24.0,2.027,30.385,11.276,24.649,3.728,16.701,11.617,100.407,38.57,19.734,12.328,21.859,7.916,100.407,49.46,14,2022-02-01
2022,2,San Luis,121.559,182.0,121.741,60.0,306.0,6.84,21.217,11.052,67.438,13.0,14.815,121.741,6.86,29.034,248.0,70.614,14.985,121.741,81.76,19,2022-02-01
2022,2,Santa Cruz,48.987,198.0,49.185,52.0,6.841,12.348,11.369,11.885,2.454,3.592,644.0,49.185,10.17,23.725,10.815,3.896,579.0,49.185,43.15,12,2022-02-01
2022,2,Santa Fe,878.749,110.0,878.859,468.0,11.757,138.534,204.381,74.133,58.114,373.888,17.584,878.859,198.492,428.233,189.503,43.081,19.55,878.859,77.9,42,2022-02-01
2022,2,Santiago Del Estero,118.042,2.0,118.044,178.0,1.401,29.581,59.931,14.606,883.0,10.672,792.0,118.044,16.561,80.338,11.605,6.618,2.922,118.044,47.7,16,2022-02-01
2022,2,Tierra Del Fuego,53.458,312.0,53.77,22.0,831.0,12.052,14.828,19.968,1.712,1.006,3.351,53.77,12.754,39.837,403.0,125.0,651.0,53.77,99.86,11,2022-02-01
2022,2,Tucumán,254.497,30.0,254.527,39.0,2.195,34.461,43.513,23.634,4.863,145.541,281.0,254.527,85.893,15.327,148.823,3.997,487.0,254.527,59.31,50,2022-02-01
2022,1,Buenos Aires,4549.131,6.293,4555.424,31.591,30.056,313.382,321.756,290.127,161.183,3381.049,26.28,4555.424,392.045,2728.865,1242.121,125.521,66.872,4555.424,76.08,63,2022-01-01
2022,1,Buenos Aires,1415.378,2.163,1417.541,527.0,5.575,39.918,77.39,61.053,43.289,1188.072,1.717,1417.541,102.29,1217.225,62.308,5.784,29.934,1417.541,111.8,88,2022-01-01
2022,1,Catamarca,62.377,1.0,62.378,71.0,456.0,4.386,7.009,8.773,3.761,35.715,2.207,62.378,14.181,15.517,29.118,1.328,2.234,62.378,58.21,51,2022-01-01
